model,in_synopsis,features,stages,trim,window,step,cv_mean,cv_std,macro_f1,canonical_acc,best_params
ExtraTrees,False,TD,"bandpass,notch,normalize",0.15,40,20,0.8306419955736617,0.023999261236997704,0.8335594135574832,0.8467126770795496,{}
RF,True,TD,"bandpass,notch,normalize",0.15,40,20,0.8029925086878933,0.02822781263669996,0.8059852659650044,0.8038503450780966,{}
SVM,True,TD,"bandpass,notch,normalize",0.15,40,20,0.6968658411095293,0.02674254165820747,0.7029402300488422,0.682164911006175,{}
LDA,True,TD,"bandpass,notch,normalize",0.15,40,20,0.6145154307751153,0.042327058299538714,0.624678576410588,0.6160552124954595,{}
